PID,category,subcategory,date
OFF_LA10003923,Office Supplies,Labels,11/23/2011
OFF_LA10003510,Office Supplies,Labels,6/24/2013
OFF_LA10000248,Office Supplies,Labels,6/24/2013
OFF_ST10000060,Office Supplies,Storage,6/24/2013
OFF_PA10003129,Office Supplies,Paper,6/24/2013
OFF_FA10004076,Office Supplies,Fasteners,6/24/2013
OFF_LA10004008,Office Supplies,Labels,10/26/2012
OFF_BI10004094,Office Supplies,Binders,7/16/2014
FUR_TA10004607,Furniture,Tables,7/16/2014
FUR_CH10004289,Furniture,Chairs,11/17/2011
OFF_SU10004498,Office Supplies,Supplies,4/13/2012
OFF_AR10001177,Office Supplies,Art,11/25/2012
OFF_BI10001718,Office Supplies,Binders,5/16/2013
OFF_AR10004602,Office Supplies,Art,5/16/2013
OFF_AR10003856,Office Supplies,Art,5/16/2013
OFF_ST10000649,Office Supplies,Storage,8/9/2014
TEC_AC10002926,Technology,Accessories,8/9/2014
OFF_ST10000078,Office Supplies,Storage,3/17/2011
OFF_AR10001044,Office Supplies,Art,3/17/2011
FUR_CH10002372,Furniture,Chairs,7/18/2011
OFF_PA10000357,Office Supplies,Paper,3/25/2014
TEC_AC10001266,Technology,Accessories,3/25/2014
OFF_PA10004888,Office Supplies,Paper,5/10/2011
OFF_BI10003460,Office Supplies,Binders,9/26/2011
OFF_PA10000157,Office Supplies,Paper,10/31/2012
OFF_BI10004519,Office Supplies,Binders,10/31/2012
OFF_AR10004272,Office Supplies,Art,10/31/2012
OFF_FA10000585,Office Supplies,Fasteners,10/31/2012
FUR_CH10004218,Furniture,Chairs,10/31/2012
OFF_SU10004231,Office Supplies,Supplies,10/31/2012
TEC_PH10001578,Technology,Phones,10/31/2012
OFF_ST10003638,Office Supplies,Storage,10/31/2012
FUR_BO10002213,Furniture,Bookcases,10/31/2012
FUR_TA10001307,Furniture,Tables,10/17/2012
OFF_PA10002222,Office Supplies,Paper,9/20/2013
OFF_PA10002479,Office Supplies,Paper,4/14/2014
OFF_BI10003091,Office Supplies,Binders,4/14/2014
OFF_BI10000145,Office Supplies,Binders,1/14/2014
FUR_CH10003061,Furniture,Chairs,10/11/2014
FUR_BO10001972,Furniture,Bookcases,9/23/2014
OFF_LA10000134,Office Supplies,Labels,9/23/2014
OFF_EN10003040,Office Supplies,Envelopes,2/12/2014
TEC_PH10000923,Technology,Phones,2/12/2014
TEC_AC10000158,Technology,Accessories,6/23/2011
FUR_FU10003623,Furniture,Furnishings,4/10/2012
OFF_PA10001293,Office Supplies,Paper,4/10/2012
OFF_AP10000124,Office Supplies,Appliances,5/20/2011
OFF_AR10004511,Office Supplies,Art,5/20/2011
FUR_FU10000076,Furniture,Furnishings,5/20/2011
OFF_PA10003883,Office Supplies,Paper,11/20/2012
OFF_BI10003656,Office Supplies,Binders,4/12/2012
OFF_FA10000053,Office Supplies,Fasteners,4/12/2012
TEC_PH10002807,Technology,Phones,4/12/2012
FUR_FU10002364,Furniture,Furnishings,12/31/2012
OFF_BI10002954,Office Supplies,Binders,12/31/2012
OFF_PA10004092,Office Supplies,Paper,11/17/2014
OFF_BI10003982,Office Supplies,Binders,6/6/2011
OFF_SU10001664,Office Supplies,Supplies,6/6/2011
FUR_TA10003238,Furniture,Tables,6/6/2011
OFF_PA10004675,Office Supplies,Paper,2/9/2013
TEC_PH10002293,Technology,Phones,2/9/2013
OFF_FA10002780,Office Supplies,Fasteners,2/9/2013
FUR_CH10002965,Furniture,Chairs,6/26/2013
OFF_BI10004781,Office Supplies,Binders,6/26/2013
OFF_ST10001713,Office Supplies,Storage,6/26/2013
FUR_FU10003975,Furniture,Furnishings,12/12/2011
TEC_PH10001536,Technology,Phones,1/4/2014
FUR_CH10001973,Furniture,Chairs,11/20/2014
TEC_AC10001772,Technology,Accessories,11/24/2011
OFF_PA10002586,Office Supplies,Paper,11/22/2012
OFF_BI10004094,Office Supplies,Binders,7/15/2013
FUR_FU10004973,Furniture,Furnishings,1/5/2013
OFF_FA10000624,Office Supplies,Fasteners,7/26/2013
OFF_ST10001097,Office Supplies,Storage,6/22/2011
OFF_ST10001469,Office Supplies,Storage,6/22/2011
OFF_AR10004956,Office Supplies,Art,10/22/2014
OFF_BI10004236,Office Supplies,Binders,4/9/2013
FUR_FU10002937,Furniture,Furnishings,5/15/2013
OFF_AR10003696,Office Supplies,Art,7/1/2013
OFF_PA10004359,Office Supplies,Paper,3/14/2014
TEC_AC10002402,Technology,Accessories,10/14/2013
OFF_PA10000551,Office Supplies,Paper,10/14/2013
FUR_FU10003394,Furniture,Furnishings,10/14/2013
OFF_AR10002067,Office Supplies,Art,10/14/2013
OFF_BI10004140,Office Supplies,Binders,10/14/2013
OFF_AR10004078,Office Supplies,Art,1/28/2014
TEC_AC10000927,Technology,Accessories,1/28/2014
TEC_PH10003931,Technology,Phones,1/28/2014
FUR_CH10004675,Furniture,Chairs,11/20/2014
OFF_BI10004506,Office Supplies,Binders,1/8/2011
OFF_BI10002353,Office Supplies,Binders,5/8/2013
OFF_ST10000943,Office Supplies,Storage,3/8/2012
OFF_PA10000740,Office Supplies,Paper,10/16/2013
OFF_PA10003001,Office Supplies,Paper,10/16/2013
OFF_BI10001628,Office Supplies,Binders,10/16/2013
OFF_PA10001509,Office Supplies,Paper,10/16/2013
OFF_BI10000309,Office Supplies,Binders,8/5/2013
OFF_LA10003923,Office Supplies,Labels,8/5/2013
FUR_CH10002084,Furniture,Chairs,8/5/2013
TEC_MA10000488,Technology,Machines,8/5/2013
TEC_AC10001767,Technology,Accessories,8/5/2013
FUR_FU10001940,Furniture,Furnishings,8/5/2013
OFF_BI10002735,Office Supplies,Binders,2/8/2014
TEC_AC10002345,Technology,Accessories,7/15/2013
OFF_EN10003134,Office Supplies,Envelopes,8/16/2014
FUR_FU10003708,Furniture,Furnishings,8/16/2014
TEC_PH10003645,Technology,Phones,8/16/2014
OFF_AP10000692,Office Supplies,Appliances,6/26/2013
OFF_BI10001718,Office Supplies,Binders,11/12/2013
OFF_AP10002082,Office Supplies,Appliances,11/12/2013
OFF_PA10001125,Office Supplies,Paper,11/12/2013
OFF_AP10000252,Office Supplies,Appliances,11/12/2013
TEC_AC10003038,Technology,Accessories,11/12/2013
OFF_AR10000940,Office Supplies,Art,2/12/2013
OFF_AR10001954,Office Supplies,Art,4/12/2011
OFF_PA10003177,Office Supplies,Paper,2/4/2012
OFF_PA10000533,Office Supplies,Paper,2/4/2012
FUR_FU10001935,Furniture,Furnishings,1/6/2011
TEC_PH10002563,Technology,Phones,1/6/2011
OFF_BI10002160,Office Supplies,Binders,6/9/2012
FUR_FU10004748,Furniture,Furnishings,6/9/2012
FUR_FU10001473,Furniture,Furnishings,5/7/2012
OFF_AR10000538,Office Supplies,Art,9/13/2013
OFF_BI10001098,Office Supplies,Binders,7/14/2011
TEC_PH10001552,Technology,Phones,7/14/2011
OFF_AR10000390,Office Supplies,Art,8/22/2012
TEC_PH10001079,Technology,Phones,11/14/2011
OFF_BI10003460,Office Supplies,Binders,11/14/2011
OFF_AP10003842,Office Supplies,Appliances,1/12/2013
FUR_FU10003535,Furniture,Furnishings,11/22/2014
OFF_BI10002012,Office Supplies,Binders,2/10/2014
OFF_BI10001922,Office Supplies,Binders,2/10/2014
OFF_AP10000576,Office Supplies,Appliances,2/10/2014
FUR_CH10000553,Furniture,Chairs,2/10/2014
OFF_AR10003469,Office Supplies,Art,9/20/2011
OFF_BI10000145,Office Supplies,Binders,2/8/2014
OFF_ST10001580,Office Supplies,Storage,2/8/2014
TEC_PH10001817,Technology,Phones,2/8/2014
TEC_PH10001578,Technology,Phones,6/12/2012
OFF_AR10004078,Office Supplies,Art,6/12/2012
FUR_CH10004860,Furniture,Chairs,6/12/2012
OFF_PA10003790,Office Supplies,Paper,1/8/2014
FUR_BO10002202,Furniture,Bookcases,3/20/2013
OFF_FA10003059,Office Supplies,Fasteners,4/8/2014
TEC_PH10002496,Technology,Phones,4/8/2014
FUR_TA10003238,Furniture,Tables,2/10/2013
OFF_BI10004390,Office Supplies,Binders,3/31/2011
OFF_AP10002765,Office Supplies,Appliances,3/31/2011
FUR_FU10000293,Furniture,Furnishings,2/7/2014
OFF_ST10003692,Office Supplies,Storage,7/15/2014
TEC_PH10001051,Technology,Phones,12/14/2012
TEC_AC10001013,Technology,Accessories,6/12/2014
OFF_ST10000025,Office Supplies,Storage,9/15/2012
OFF_AR10000817,Office Supplies,Art,9/15/2012
OFF_SU10000952,Office Supplies,Supplies,7/16/2013
FUR_FU10004597,Furniture,Furnishings,4/21/2014
OFF_BI10003527,Office Supplies,Binders,11/16/2013
OFF_BI10002982,Office Supplies,Binders,11/16/2013
TEC_PH10004165,Technology,Phones,2/12/2013
OFF_ST10003442,Office Supplies,Storage,11/22/2014
OFF_AR10003856,Office Supplies,Art,11/22/2014
OFF_FA10004248,Office Supplies,Fasteners,11/22/2014
OFF_AP10001492,Office Supplies,Appliances,11/22/2014
TEC_PH10004165,Technology,Phones,11/22/2014
OFF_PA10004285,Office Supplies,Paper,2/15/2012
OFF_BI10001628,Office Supplies,Binders,2/15/2012
OFF_BI10000546,Office Supplies,Binders,2/15/2012
OFF_AP10001391,Office Supplies,Appliances,2/15/2012
OFF_PA10000477,Office Supplies,Paper,2/15/2012
OFF_PA10004327,Office Supplies,Paper,4/16/2013
OFF_AP10000696,Office Supplies,Appliances,1/10/2012
OFF_AP10002082,Office Supplies,Appliances,1/10/2012
TEC_PH10001944,Technology,Phones,9/18/2013
FUR_FU10004952,Furniture,Furnishings,9/18/2013
FUR_CH10000015,Furniture,Chairs,6/17/2014
OFF_PA10001776,Office Supplies,Paper,6/17/2014
OFF_FA10002280,Office Supplies,Fasteners,8/11/2012
TEC_AC10002049,Technology,Accessories,8/11/2012
TEC_AC10002253,Technology,Accessories,12/18/2012
FUR_BO10004015,Furniture,Bookcases,7/2/2014
TEC_AC10004145,Technology,Accessories,11/15/2013
OFF_PA10002479,Office Supplies,Paper,11/15/2013
OFF_BI10004970,Office Supplies,Binders,11/15/2013
OFF_PA10003919,Office Supplies,Paper,10/13/2014
OFF_PA10002001,Office Supplies,Paper,9/18/2014
OFF_PA10002787,Office Supplies,Paper,12/21/2014
OFF_BI10003291,Office Supplies,Binders,12/21/2014
OFF_AR10004344,Office Supplies,Art,3/12/2014
OFF_ST10003123,Office Supplies,Storage,9/21/2012
FUR_FU10000308,Furniture,Furnishings,6/3/2012
TEC_CO10003763,Technology,Copiers,6/3/2012
FUR_TA10001866,Furniture,Tables,3/10/2011
FUR_CH10002774,Furniture,Chairs,3/10/2011
OFF_ST10004337,Office Supplies,Storage,1/7/2011
FUR_TA10001039,Furniture,Tables,1/7/2011
TEC_AC10000109,Technology,Accessories,1/7/2011
FUR_CH10003833,Furniture,Chairs,3/11/2014
FUR_CH10004289,Furniture,Chairs,3/11/2014
FUR_BO10004467,Furniture,Bookcases,3/11/2014
OFF_PA10002713,Office Supplies,Paper,4/9/2013
TEC_PH10001552,Technology,Phones,5/3/2012
OFF_AP10002222,Office Supplies,Appliances,5/3/2012
OFF_PA10003971,Office Supplies,Paper,6/5/2013
OFF_AP10004036,Office Supplies,Appliances,11/18/2014
OFF_AP10002287,Office Supplies,Appliances,2/6/2014
OFF_AR10002375,Office Supplies,Art,6/14/2014
FUR_TA10001950,Furniture,Tables,9/1/2014
TEC_PH10001557,Technology,Phones,4/20/2012
FUR_FU10002937,Furniture,Furnishings,4/20/2012
OFF_PA10001166,Office Supplies,Paper,4/20/2012
TEC_PH10000347,Technology,Phones,1/11/2012
FUR_FU10003708,Furniture,Furnishings,12/24/2014
OFF_PA10002659,Office Supplies,Paper,1/11/2012
FUR_FU10000965,Furniture,Furnishings,1/11/2012
TEC_PH10001527,Technology,Phones,1/11/2012
TEC_AC10001838,Technology,Accessories,1/11/2012
TEC_PH10002597,Technology,Phones,1/11/2012
OFF_BI10000756,Office Supplies,Binders,11/14/2011
OFF_BI10000546,Office Supplies,Binders,11/14/2011
TEC_AC10001142,Technology,Accessories,1/17/2013
FUR_CH10000785,Furniture,Chairs,9/18/2014
OFF_PA10000474,Office Supplies,Paper,9/18/2014
FUR_BO10003441,Furniture,Bookcases,12/24/2013
OFF_PA10004156,Office Supplies,Paper,6/8/2012
TEC_AC10001432,Technology,Accessories,6/11/2014
FUR_CH10001394,Furniture,Chairs,6/13/2014
OFF_ST10002370,Office Supplies,Storage,6/13/2014
OFF_AR10002956,Office Supplies,Art,6/13/2014
OFF_AR10001955,Office Supplies,Art,6/13/2014
OFF_ST10001809,Office Supplies,Storage,6/13/2014
OFF_LA10004093,Office Supplies,Labels,7/21/2014
OFF_AP10002118,Office Supplies,Appliances,7/21/2014
OFF_BI10000404,Office Supplies,Binders,7/21/2014
FUR_CH10003833,Furniture,Chairs,7/21/2014
OFF_BI10002072,Office Supplies,Binders,7/21/2014
TEC_AC10003095,Technology,Accessories,7/21/2014
OFF_AP10001563,Office Supplies,Appliances,12/23/2012
TEC_AC10000358,Technology,Accessories,3/21/2014
OFF_BI10004492,Office Supplies,Binders,12/31/2012
OFF_BI10001072,Office Supplies,Binders,12/31/2012
OFF_BI10003707,Office Supplies,Binders,12/31/2012
OFF_BI10000977,Office Supplies,Binders,12/31/2012
OFF_BI10002082,Office Supplies,Binders,9/15/2012
FUR_BO10004709,Furniture,Bookcases,9/15/2012
OFF_PA10002365,Office Supplies,Paper,9/15/2012
OFF_EN10004147,Office Supplies,Envelopes,9/24/2014
FUR_FU10001468,Furniture,Furnishings,12/25/2012
OFF_ST10000642,Office Supplies,Storage,9/25/2013
OFF_PA10000380,Office Supplies,Paper,9/25/2013
OFF_PA10004071,Office Supplies,Paper,3/22/2014
OFF_PA10004971,Office Supplies,Paper,3/22/2014
OFF_AP10000696,Office Supplies,Appliances,4/10/2011
OFF_EN10004030,Office Supplies,Envelopes,11/12/2014
OFF_AP10000026,Office Supplies,Appliances,11/12/2014
OFF_PA10003936,Office Supplies,Paper,8/23/2011
OFF_PA10004530,Office Supplies,Paper,8/23/2011
OFF_AR10004930,Office Supplies,Art,8/19/2011
OFF_AR10004999,Office Supplies,Art,11/11/2013
FUR_FU10002501,Furniture,Furnishings,12/31/2011
TEC_AC10000358,Technology,Accessories,12/31/2011
OFF_ST10004804,Office Supplies,Storage,7/26/2011
OFF_AP10001205,Office Supplies,Appliances,2/22/2013
OFF_PA10000659,Office Supplies,Paper,3/14/2013
OFF_BI10004141,Office Supplies,Binders,3/14/2013
FUR_TA10004619,Furniture,Tables,3/14/2013
OFF_BI10004187,Office Supplies,Binders,3/12/2014
OFF_BI10000632,Office Supplies,Binders,3/12/2014
OFF_PA10003724,Office Supplies,Paper,3/12/2014
OFF_AP10002765,Office Supplies,Appliances,3/12/2014
OFF_AR10001868,Office Supplies,Art,3/12/2014
FUR_BO10002545,Furniture,Bookcases,2/9/2012
OFF_BI10002735,Office Supplies,Binders,2/9/2012
TEC_AC10004864,Technology,Accessories,2/9/2012
TEC_MA10000597,Technology,Machines,2/9/2012
FUR_TA10003473,Furniture,Tables,3/17/2011
FUR_TA10001950,Furniture,Tables,3/17/2011
FUR_TA10004175,Furniture,Tables,3/17/2011
OFF_PA10002960,Office Supplies,Paper,3/17/2011
OFF_PA10000919,Office Supplies,Paper,3/17/2011
OFF_BI10001553,Office Supplies,Binders,4/17/2014
FUR_FU10004864,Furniture,Furnishings,3/14/2013
OFF_AP10004540,Office Supplies,Appliances,3/14/2013
OFF_BI10004965,Office Supplies,Binders,3/14/2013
FUR_CH10001714,Furniture,Chairs,11/24/2011
OFF_PA10002464,Office Supplies,Paper,2/14/2014
FUR_FU10002298,Furniture,Furnishings,9/24/2013
OFF_AR10000315,Office Supplies,Art,9/24/2013
TEC_AC10004353,Technology,Accessories,8/7/2014
FUR_FU10004973,Furniture,Furnishings,8/7/2013
OFF_FA10000936,Office Supplies,Fasteners,8/7/2013
OFF_PA10001609,Office Supplies,Paper,8/7/2013
FUR_CH10000785,Furniture,Chairs,8/7/2013
OFF_FA10000053,Office Supplies,Fasteners,1/25/2014
OFF_BI10001718,Office Supplies,Binders,8/19/2011
OFF_SU10004768,Office Supplies,Supplies,8/19/2011
OFF_PA10003883,Office Supplies,Paper,6/12/2012
OFF_FA10004248,Office Supplies,Fasteners,7/5/2013
OFF_PA10002581,Office Supplies,Paper,7/5/2013
FUR_FU10004848,Furniture,Furnishings,7/5/2013
OFF_AP10002403,Office Supplies,Appliances,3/26/2014
OFF_AR10003087,Office Supplies,Art,3/26/2014
OFF_BI10002026,Office Supplies,Binders,3/26/2014
TEC_PH10000141,Technology,Phones,3/26/2014
TEC_CO10000971,Technology,Copiers,3/26/2014
OFF_FA10001229,Office Supplies,Fasteners,12/12/2012
OFF_BI10002437,Office Supplies,Binders,12/12/2012
OFF_PA10004255,Office Supplies,Paper,6/12/2012
OFF_PA10001184,Office Supplies,Paper,6/12/2012
TEC_AC10002637,Technology,Accessories,6/12/2012
FUR_FU10002878,Furniture,Furnishings,6/12/2012
OFF_AR10000588,Office Supplies,Art,3/18/2013
TEC_AC10002217,Technology,Accessories,11/14/2012
TEC_AC10001267,Technology,Accessories,11/14/2012
OFF_PA10004041,Office Supplies,Paper,11/14/2012
OFF_LA10001613,Office Supplies,Labels,8/15/2014
OFF_AR10000246,Office Supplies,Art,8/15/2014
OFF_ST10001809,Office Supplies,Storage,9/16/2014
OFF_ST10002214,Office Supplies,Storage,9/16/2014
OFF_ST10000649,Office Supplies,Storage,2/4/2014
OFF_EN10001990,Office Supplies,Envelopes,2/4/2014
FUR_BO10000780,Furniture,Bookcases,4/10/2013
TEC_AC10002049,Technology,Accessories,8/10/2014
TEC_PH10003555,Technology,Phones,8/10/2014
TEC_PH10000702,Technology,Phones,8/10/2014
OFF_AR10003631,Office Supplies,Art,1/21/2014
TEC_PH10003072,Technology,Phones,1/21/2014
FUR_FU10000758,Furniture,Furnishings,3/24/2014
OFF_FA10000992,Office Supplies,Fasteners,1/8/2011
OFF_BI10004187,Office Supplies,Binders,7/6/2012
OFF_PA10001947,Office Supplies,Paper,11/16/2011
FUR_TA10002356,Furniture,Tables,11/16/2011
FUR_CH10001714,Furniture,Chairs,12/30/2013
FUR_BO10002824,Furniture,Bookcases,6/7/2012
TEC_AC10002842,Technology,Accessories,10/13/2014
OFF_BI10002082,Office Supplies,Binders,10/13/2014
TEC_MA10000112,Technology,Machines,5/22/2013
OFF_ST10002289,Office Supplies,Storage,10/11/2014
TEC_AC10004171,Technology,Accessories,10/11/2014
OFF_ST10003656,Office Supplies,Storage,4/19/2013
OFF_PA10001560,Office Supplies,Paper,4/19/2013
TEC_AC10002473,Technology,Accessories,12/26/2014
OFF_BI10000632,Office Supplies,Binders,12/26/2014
FUR_TA10002645,Furniture,Tables,12/26/2014
OFF_FA10002975,Office Supplies,Fasteners,12/26/2014
OFF_BI10003784,Office Supplies,Binders,6/18/2013
OFF_BI10001617,Office Supplies,Binders,6/18/2013
FUR_FU10004415,Furniture,Furnishings,6/18/2013
OFF_LA10000240,Office Supplies,Labels,5/14/2014
FUR_FU10001935,Furniture,Furnishings,12/29/2014
FUR_CH10002439,Furniture,Chairs,1/4/2011
TEC_PH10001536,Technology,Phones,2/6/2014
OFF_EN10001532,Office Supplies,Envelopes,11/14/2012
OFF_AP10003057,Office Supplies,Appliances,11/14/2012
FUR_FU10003708,Furniture,Furnishings,4/7/2014
FUR_TA10000849,Furniture,Tables,11/18/2011
OFF_PA10002259,Office Supplies,Paper,11/18/2011
FUR_FU10002597,Furniture,Furnishings,7/18/2014
TEC_PH10004614,Technology,Phones,5/23/2013
FUR_TA10003748,Furniture,Tables,5/23/2013
OFF_AP10003217,Office Supplies,Appliances,5/23/2013
TEC_AC10002399,Technology,Accessories,5/23/2013
OFF_EN10002973,Office Supplies,Envelopes,5/23/2013
TEC_PH10001336,Technology,Phones,5/23/2013
OFF_EN10000461,Office Supplies,Envelopes,1/10/2012
FUR_CH10000988,Furniture,Chairs,1/11/2013
OFF_ST10001809,Office Supplies,Storage,9/14/2012
OFF_BI10003963,Office Supplies,Binders,6/11/2013
OFF_LA10000081,Office Supplies,Labels,3/18/2014
TEC_PH10000149,Technology,Phones,3/18/2014
OFF_BI10000605,Office Supplies,Binders,3/18/2014
TEC_AC10002399,Technology,Accessories,3/18/2014
TEC_AC10003038,Technology,Accessories,3/18/2014
OFF_ST10000344,Office Supplies,Storage,3/18/2014
OFF_LA10004093,Office Supplies,Labels,3/18/2014
OFF_AR10001683,Office Supplies,Art,3/18/2014
OFF_ST10003455,Office Supplies,Storage,3/18/2014
OFF_AP10002578,Office Supplies,Appliances,8/16/2014
OFF_PA10001763,Office Supplies,Paper,7/13/2012
OFF_BI10001597,Office Supplies,Binders,7/13/2012
OFF_BI10001524,Office Supplies,Binders,4/12/2014
OFF_BI10001553,Office Supplies,Binders,4/12/2014
TEC_PH10000576,Technology,Phones,4/12/2014
OFF_LA10001317,Office Supplies,Labels,4/12/2014
OFF_PA10000726,Office Supplies,Paper,5/5/2014
OFF_ST10003306,Office Supplies,Storage,5/5/2014
OFF_PA10004983,Office Supplies,Paper,5/5/2014
OFF_ST10001291,Office Supplies,Storage,5/5/2014
FUR_FU10002107,Furniture,Furnishings,1/22/2013
FUR_BO10002213,Furniture,Bookcases,1/22/2013
OFF_AP10000692,Office Supplies,Appliances,1/22/2013
FUR_CH10001190,Furniture,Chairs,4/11/2013
TEC_AC10000682,Technology,Accessories,4/11/2013
OFF_LA10004545,Office Supplies,Labels,4/11/2013
OFF_AP10003057,Office Supplies,Appliances,4/11/2013
FUR_TA10000198,Furniture,Tables,5/9/2014
OFF_AR10002833,Office Supplies,Art,9/13/2011
OFF_SU10002557,Office Supplies,Supplies,6/20/2014
OFF_ST10003656,Office Supplies,Storage,6/20/2014
OFF_ST10001097,Office Supplies,Storage,12/25/2014
TEC_PH10000912,Technology,Phones,4/9/2014
FUR_TA10000617,Furniture,Tables,4/9/2014
OFF_BI10001658,Office Supplies,Binders,4/9/2014
OFF_AR10003856,Office Supplies,Art,4/9/2014
OFF_ST10001837,Office Supplies,Storage,2/1/2012
OFF_AR10001473,Office Supplies,Art,2/1/2012
OFF_PA10004285,Office Supplies,Paper,2/1/2012
TEC_PH10001835,Technology,Phones,9/10/2012
OFF_PA10002245,Office Supplies,Paper,9/10/2012
OFF_PA10001457,Office Supplies,Paper,12/13/2011
TEC_PH10002885,Technology,Phones,11/19/2011
FUR_TA10004086,Furniture,Tables,9/15/2013
TEC_PH10000895,Technology,Phones,9/15/2013
FUR_CH10000225,Furniture,Chairs,6/16/2011
OFF_ST10002370,Office Supplies,Storage,1/10/2012
OFF_EN10000056,Office Supplies,Envelopes,1/10/2012
OFF_BI10004817,Office Supplies,Binders,5/20/2013
OFF_EN10004483,Office Supplies,Envelopes,6/23/2014
OFF_PA10001892,Office Supplies,Paper,6/18/2014
OFF_BI10000546,Office Supplies,Binders,6/18/2014
OFF_BI10001294,Office Supplies,Binders,6/18/2014
OFF_LA10000248,Office Supplies,Labels,11/15/2013
OFF_ST10001228,Office Supplies,Storage,7/25/2011
OFF_SU10000151,Office Supplies,Supplies,7/25/2011
FUR_FU10004351,Furniture,Furnishings,7/25/2011
OFF_AP10001293,Office Supplies,Appliances,2/7/2012
TEC_PH10000675,Technology,Phones,3/3/2014
TEC_AC10000580,Technology,Accessories,3/3/2014
OFF_ST10003470,Office Supplies,Storage,11/19/2013
TEC_AC10003116,Technology,Accessories,4/18/2012
OFF_BI10002429,Office Supplies,Binders,3/12/2014
TEC_AC10003280,Technology,Accessories,11/18/2013
FUR_CH10004540,Furniture,Chairs,11/18/2013
OFF_ST10000585,Office Supplies,Storage,5/9/2011
OFF_EN10003001,Office Supplies,Envelopes,11/15/2011
FUR_FU10003975,Furniture,Furnishings,3/5/2014
OFF_LA10004559,Office Supplies,Labels,10/16/2013
OFF_LA10003223,Office Supplies,Labels,10/16/2013
OFF_AP10002651,Office Supplies,Appliances,10/16/2013
OFF_PA10003177,Office Supplies,Paper,10/16/2013
TEC_PH10003442,Technology,Phones,10/16/2013
OFF_BI10000977,Office Supplies,Binders,10/16/2013
OFF_AR10004078,Office Supplies,Art,6/4/2012
TEC_AC10002550,Technology,Accessories,6/4/2012
OFF_BI10004965,Office Supplies,Binders,6/4/2012
OFF_BI10004209,Office Supplies,Binders,6/4/2012
OFF_PA10001526,Office Supplies,Paper,6/4/2012
OFF_PA10000788,Office Supplies,Paper,10/24/2011
OFF_PA10000595,Office Supplies,Paper,8/17/2011
OFF_BI10000829,Office Supplies,Binders,8/17/2011
OFF_FA10002676,Office Supplies,Fasteners,8/17/2011
TEC_AC10000844,Technology,Accessories,8/17/2011
OFF_ST10004459,Office Supplies,Storage,8/16/2014
TEC_AC10003499,Technology,Accessories,6/9/2012
FUR_CH10000513,Furniture,Chairs,1/27/2012
TEC_PH10000895,Technology,Phones,1/27/2012
TEC_PH10002555,Technology,Phones,1/27/2012
FUR_CH10003312,Furniture,Chairs,7/16/2012
FUR_CH10004086,Furniture,Chairs,7/16/2012
FUR_FU10002759,Furniture,Furnishings,1/5/2013
OFF_AP10002191,Office Supplies,Appliances,1/10/2011
FUR_BO10003450,Furniture,Bookcases,9/9/2013
OFF_LA10000248,Office Supplies,Labels,9/9/2013
OFF_ST10004804,Office Supplies,Storage,4/17/2014
FUR_BO10001337,Furniture,Bookcases,4/17/2014
OFF_AR10002255,Office Supplies,Art,8/16/2012
TEC_PH10002624,Technology,Phones,8/16/2012
OFF_PA10001878,Office Supplies,Paper,8/16/2012
OFF_LA10000452,Office Supplies,Labels,8/16/2012
FUR_FU10004665,Furniture,Furnishings,11/20/2014
OFF_BI10000088,Office Supplies,Binders,11/20/2014
OFF_PA10000029,Office Supplies,Paper,9/15/2013
TEC_PH10000369,Technology,Phones,8/16/2013
TEC_AC10001590,Technology,Accessories,9/26/2012
FUR_FU10004909,Furniture,Furnishings,9/10/2013
OFF_AP10002287,Office Supplies,Appliances,3/24/2012
FUR_BO10004357,Furniture,Bookcases,4/6/2012
OFF_LA10003766,Office Supplies,Labels,4/6/2012
OFF_ST10000046,Office Supplies,Storage,4/6/2012
OFF_LA10003190,Office Supplies,Labels,12/25/2012
OFF_PA10002787,Office Supplies,Paper,12/25/2012
TEC_AC10000387,Technology,Accessories,3/17/2012
OFF_ST10001291,Office Supplies,Storage,3/17/2012
TEC_AC10003116,Technology,Accessories,12/22/2014
OFF_BI10001308,Office Supplies,Binders,2/11/2014
FUR_TA10003954,Furniture,Tables,2/11/2014
OFF_ST10003282,Office Supplies,Storage,8/9/2014
TEC_PH10000576,Technology,Phones,12/28/2014
OFF_AR10004441,Office Supplies,Art,12/28/2014
OFF_AR10003759,Office Supplies,Art,7/17/2014
TEC_AC10004145,Technology,Accessories,8/13/2013
FUR_FU10000293,Furniture,Furnishings,7/15/2014
OFF_EN10004955,Office Supplies,Envelopes,11/22/2011
OFF_BI10001071,Office Supplies,Binders,11/22/2011
OFF_EN10001990,Office Supplies,Envelopes,11/22/2011
OFF_AP10002734,Office Supplies,Appliances,11/22/2011
FUR_FU10004587,Furniture,Furnishings,1/2/2011
OFF_ST10004337,Office Supplies,Storage,1/2/2011
OFF_PA10003072,Office Supplies,Paper,1/2/2011
OFF_PA10000380,Office Supplies,Paper,1/2/2011
TEC_PH10004833,Technology,Phones,1/2/2011
FUR_FU10001847,Furniture,Furnishings,1/2/2011
TEC_PH10002103,Technology,Phones,1/2/2011
OFF_EN10001137,Office Supplies,Envelopes,3/11/2012
OFF_ST10001476,Office Supplies,Storage,1/7/2014
FUR_FU10002045,Furniture,Furnishings,1/7/2014
OFF_ST10001505,Office Supplies,Storage,6/5/2013
TEC_PH10001433,Technology,Phones,6/5/2013
FUR_FU10004671,Furniture,Furnishings,9/9/2013
